127.0.0.1 - - [22/Apr/2015:11:05:02 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "GET /sale_on/main.do HTTP/1.1" 200 8000
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "GET /sale_on/asset/js/jquery.bpopup.min.js HTTP/1.1" 200 5185
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "GET /sale_on/asset/img/gnb_icon_01.jpg HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "GET /sale_on/asset/img/gnb_sub_bg01.png HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "GET /sale_on/asset/img/gnb_icon_02.jpg HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "GET /sale_on/asset/img/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "GET /sale_on/asset/img/gnb_info_bar.gif HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "GET /sale_on/asset/img/gnb_icon_03.jpg HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "GET /sale_on/asset/img/tabs_header_bg.jpg HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "GET /sale_on/mainForManager.do HTTP/1.1" 200 22665
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "GET /sale_on/asset/css/chart.js.legend.css HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "GET /sale_on/asset/js/Chart.js HTTP/1.1" 200 107319
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "GET /sale_on/asset/img/main_h2_ico.gif HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:51 +0900] "GET /sale_on/asset/img/main_box_top.gif HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:52 +0900] "POST /sale_on/getCompanyResultYearAjax.do HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:52 +0900] "POST /sale_on/getCompanyResultMonthByPartAjax.do HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:53 +0900] "GET /sale_on/member/logOut.do HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:05:54 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 5757
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:11 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:11 +0900] "GET /sale_on/main.do HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:11 +0900] "GET /sale_on/mainForEmployee.do HTTP/1.1" 200 22271
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:13 +0900] "POST /sale_on/getEmpResultYearAjax.do HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:13 +0900] "POST /sale_on/getTeamResultYearAjax.do HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:14 +0900] "GET /sale_on/asset/img/gnb_icon_01_on.jpg HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:14 +0900] "GET /sale_on/asset/img/gnb_sub_bg03.png HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:14 +0900] "GET /sale_on/asset/img/gnb_sub_bg02.png HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:14 +0900] "GET /sale_on/asset/img/gnb_bullet_01.gif HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:14 +0900] "GET /sale_on/asset/img/gnb_icon_01_on.jpg HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:15 +0900] "GET /sale_on/asset/img/gnb_bullet_02.gif HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:15 +0900] "GET /sale_on/business/saleList.do HTTP/1.1" 200 10353
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:15 +0900] "GET /sale_on/asset/js/grid.locale-kr.js HTTP/1.1" 200 4688
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:15 +0900] "GET /sale_on/asset/css/ui.jqgrid.css HTTP/1.1" 200 13089
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:15 +0900] "GET /sale_on/asset/js/formCheck.js HTTP/1.1" 200 10738
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:15 +0900] "GET /sale_on/asset/js/business.js HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:15 +0900] "GET /sale_on/asset/js/jquery.jqGrid.min.js HTTP/1.1" 200 274405
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:16 +0900] "GET /sale_on/asset/img/ico_search.gif HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:16 +0900] "GET /sale_on/asset/img/point_result_group.gif HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:16 +0900] "GET /sale_on/asset/img/search_icon_carendar.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:16 +0900] "GET /sale_on/asset/css/smoothness/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:16 +0900] "GET /sale_on/asset/css/smoothness/images/ui-bg_flat_75_ffffff_40x100.png HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:16 +0900] "GET /sale_on/asset/css/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:16 +0900] "GET /sale_on/asset/css/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:16 +0900] "GET /sale_on/asset/css/smoothness/images/ui-bg_flat_0_aaaaaa_40x100.png HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:16 +0900] "GET /sale_on/asset/css/smoothness/images/ui-icons_888888_256x240.png HTTP/1.1" 200 6999
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:16 +0900] "GET /sale_on/asset/css/smoothness/images/ui-icons_222222_256x240.png HTTP/1.1" 200 6922
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:25 +0900] "GET /sale_on/asset/css/smoothness/images/ui-bg_glass_75_dadada_1x400.png HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:06:30 +0900] "GET /sale_on/business/saleGridList.do?ad_fr_date=2015-04-01&ad_to_date=2015-04-22&as_fr_cust=&as_to_cust=&as_dept_cd=27&as_pda_auth=D&_search=false&nd=1429668379424&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 11273
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:16:23 +0900] "GET /sale_on/business/saleGridList.do?ad_fr_date=2015-04-01&ad_to_date=2015-04-22&as_fr_cust=&as_to_cust=&as_dept_cd=27&as_pda_auth=D&_search=false&nd=1429668983679&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 403 2526
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:16:25 +0900] "GET /sale_on/member/login.do HTTP/1.1" 200 5757
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:16:32 +0900] "POST /sale_on/member/getLogin.do HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:16:32 +0900] "GET /sale_on/main.do HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:16:32 +0900] "GET /sale_on/mainForEmployee.do HTTP/1.1" 200 22271
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:16:34 +0900] "POST /sale_on/getEmpResultYearAjax.do HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:16:34 +0900] "POST /sale_on/getTeamResultYearAjax.do HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:16:36 +0900] "GET /sale_on/business/saleList.do HTTP/1.1" 200 10353
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:16:50 +0900] "GET /sale_on/business/saleGridList.do?ad_fr_date=2015-04-01&ad_to_date=2015-04-22&as_fr_cust=&as_to_cust=&as_dept_cd=27&as_pda_auth=D&_search=false&nd=1429668998851&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 11273
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:16:58 +0900] "POST /sale_on/business/saleGridListExcelDown.do HTTP/1.1" 200 9748
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:17:54 +0900] "GET /sale_on/business/saleGridList.do?ad_fr_date=2015-04-01&ad_to_date=2015-04-22&as_fr_cust=&as_to_cust=&as_dept_cd=27&as_pda_auth=D&_search=false&nd=1429669063686&rows=40&page=1&sidx=&sord=asc HTTP/1.1" 200 11273
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:18:09 +0900] "GET /sale_on/business/saleGridList.do?ad_fr_date=2015-04-01&ad_to_date=2015-04-22&as_fr_cust=&as_to_cust=&as_dept_cd=27&as_pda_auth=D&_search=false&nd=1429669078514&rows=40&page=1&sidx=&sord=asc HTTP/1.1" 200 11273
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:18:16 +0900] "GET /sale_on/business/saleList.do HTTP/1.1" 200 10353
0:0:0:0:0:0:0:1 - - [22/Apr/2015:11:18:29 +0900] "GET /sale_on/business/saleGridList.do?ad_fr_date=2015-04-01&ad_to_date=2015-04-22&as_fr_cust=&as_to_cust=&as_dept_cd=27&as_pda_auth=D&_search=false&nd=1429669098570&rows=20&page=1&sidx=&sord=asc HTTP/1.1" 200 11273
